name,cpu_score,gpu_score,rank
Acer T08,3133,44532,608
Alcatelonetouch 5049Z,2772,50891,643
Allwinner QUAD-CORE A64 ococci,2010,39247,714
Alps Fusion5,2560,42285,667
Alps K109,3397,55874,558
Amazon KFSUWI,4599,75992,369
Amlogic H96 PRO+,3455,74481,543
Amlogic T95ZPLUS,3162,75066,605
Amzn Fire Phone,2173,80189,696
Android T900,3129,45727,610
Archos 101b Oxygen,4445,53294,383
Asus ASUS_A002,9485,69825,106
Asus ASUS_A002A,10402,98667,100
Asus ASUS_A006,7718,64136,155
Asus ASUS_P00J,7106,124151,188
Asus ASUS_T00N,3151,78393,606
Asus ASUS_X008D,3349,48559,565
Asus ASUS_X008DA,2665,41948,653
Asus ASUS_X008DC,2709,43059,648
Asus ASUS_X00DD,3872,71127,474
Asus ASUS_X00ID,3537,70580,524
Asus ASUS_X00LD,3427,70218,548
Asus ASUS_X00QD,8496,166863,125
Asus ASUS_X00TD,6951,142648,196
Asus ASUS_X018D,3310,71552,574
Asus ASUS_Z00LD,2992,61451,628
Asus ASUS_Z00UD,3234,69983,594
Asus ASUS_Z010D,2311,53329,686
Asus ASUS_Z012D,5116,114270,325
Asus ASUS_Z012DC,5241,116585,311
Asus ASUS_Z012S,5278,114789,308
Asus ASUS_Z016D,8253,90048,131
Asus ASUS_Z017D,5480,119089,280
Asus ASUS_Z017DA,5186,116827,317
Asus ASUS_Z017DC,5173,119062,318
Asus ASUS_Z01GD,12438,192657,63
Asus ASUS_Z01HD,5391,115271,294
Asus ASUS_Z01HDA,5414,113305,291
Asus ASUS_Z01KD,5764,112359,256
Asus ASUS_Z01KDA,7921,168808,146
Asus ASUS_Z01MDA,5435,115013,285
Asus ASUS_Z01QD,16246,250379,7
Asus ASUS_Z01RD,15451,238571,15
Asus Nexus 7,2448,64027,679
Asus P008,6164,104608,233
Asus P00A,3874,45367,473
Asus P00C,4023,49438,445
Asus P027,5688,133899,265
Blackberry BBB100-1,5128,97187,323
Blackberry STV100-1,5139,79319,321
Blackberry STV100-4,4519,60091,375
Blackshark SKR-A0,13881,205571,37
Blackview BV6000,3902,94219,466
Blackview BV7000 PRO,3731,74760,488
Blackview BV8000Pro,4852,118701,345
Blu Life One X2,3901,74169,467
Blu Pure XR,3788,78149,482
Blu R1 HD,3119,44719,611
Blu Studio XL 2,2605,41247,660
Blu Vivo 5R,3636,60926,504
Bluboo S1,4254,119996,416
Bluebird msm8953 for arm64,3993,105256,452
Bq Aquaris U,3208,55468,600
Bq Aquaris X,5352,125692,300
Bullittgrouplimited Ektra,6429,159620,219
Bullittgrouplimited S41,5135,123376,322
Bullittgrouplimited S60,4737,109539,357
Cipherlab RS31,3240,45722,592
Cmdc M653,2316,42263,685
Coolpad C103,6364,114372,224
Cubot NOTE Plus,3654,49944,502
Doogee BL5000,3858,75718,477
Doogee F5,4185,64544,426
Doogee MIX2,5292,123838,307
Doogee X5max_PRO,2028,38085,711
Doogee X5pro,2180,35510,694
Doogee Y6 Max,3467,72893,540
Elephone P9000,3957,93205,460
Elephone S7,5841,171877,249
Elephone S8,5755,118765,259
Essential products PH-1,12808,193073,55
F7 F7,3951,99238,462
General mobile GM 5 Plus d,3890,65446,470
Gome 2016G68A,4771,115075,353
Google Chromebook 11 Model 3180,6751,31391,205
Google Chromebook 15 CB515-1HT/1H,10981,130690,92
Google HP Chromebook x360 11 G1 EE,7109,35545,187
Google Pixel,8097,76893,135
Google Pixel 2,12340,196603,66
Google Pixel 2 XL,12899,192561,52
Google Pixel 3,15153,222562,19
Google Pixel 3 XL,16841,231362,5
Google Pixel C,11356,98514,87
Google Pixel XL,8832,98495,115
HMD Global Nokia 3,2698,40738,649
HMD Global Nokia 3.1,2751,71668,646
HMD Global Nokia 5,3434,72929,545
