name,price,mark,value,single_thread,single_thread_value,tdp,powerperf,testdate,socket,category
686 Gen,NA,288,NA,NA,NA,NA,NA,Feb 2009,NA,Unknown
AMD A10 Micro-6700T APU,NA,1970,NA,778,NA,5,394,May 2015,FT3b,Laptop
AMD A10 PRO-7350B APU,NA,3194,NA,1029,NA,19,168,Jun 2014,FP3,Laptop
AMD A10 PRO-7800B APU,NA,5108,NA,1528,NA,65,78,Oct 2014,FM2+,Desktop
AMD A10 PRO-7850B APU,NA,5382,NA,1594,NA,95,56,Nov 2014,FM2+,Desktop
AMD A10-4600M APU,NA,3111,NA,1004,NA,35,88,Apr 2012,FS1r2,Laptop
AMD A10-4655M APU,NA,2597,NA,858,NA,25,103,Jul 2012,FP2,Laptop
AMD A10-4657M APU,NA,2906,NA,887,NA,35,83,May 2013,FP2,Laptop
AMD A10-5700 APU,$64.50,4210,65.28,1359,21.07,65,64,Jun 2012,FM2,Desktop
AMD A10-5745M APU,NA,2762,NA,914,NA,25,110,Jul 2013,FP2,Laptop
AMD A10-5750M APU,NA,3346,NA,1111,NA,35,95,May 2013,FS1r2,Laptop
AMD A10-5757M APU,NA,3084,NA,1062,NA,35,88,Jul 2013,FP2,Laptop
AMD A10-5800B APU,NA,4669,NA,1504,NA,100,46,Jul 2013,FM2,Desktop
AMD A10-5800K APU,$301.11*,4638,15.41,1458,4.84,100,46,Oct 2012,FM2,Desktop
AMD A10-6700 APU,$116.99,4600,39.33,1520,13.00,65,70,Jun 2013,FM2,Desktop
AMD A10-6700T APU,$147.61*,3693,25.02,1200,8.13,45,82,Jun 2014,FM2,Desktop
AMD A10-6790K APU,$94.99,4709,49.58,1481,15.60,100,47,Dec 2013,FM2,Desktop
AMD A10-6800B APU,NA,4991,NA,1627,NA,100,49,Feb 2014,FM2,Desktop
AMD A10-6800K APU,$286.85*,4864,16.96,1532,5.34,100,48,Jun 2013,FM2,Desktop
AMD A10-7300 APU,NA,2908,NA,964,NA,19,153,Jul 2014,FP3,Laptop
AMD A10-7400P,NA,3607,NA,1112,NA,35,103,Dec 2014,FP3,Laptop
AMD A10-7700K APU,$103.39,5126,49.58,1502,14.53,95,53,Jan 2014,FM2+,Desktop
