name,latency,read_uncached,write,price
A Force Manufacturing Ltd. 1GX64V160K 8GB,25,13996,8872,NA
A Force Manufacturing Ltd. 51264Y133I 4GB,26,13310,9434,NA
A Force Manufacturing Ltd. 51264Y160K 4GB,27,13803,9380,NA
A-DATA Technology 10242272 8GB,28,14098,8500,NA
A-DATA Technology 10242281 8GB,28,12087,7747,NA
A-DATA Technology 10242397 4GB,26,14026,8635,NA
A-DATA Technology 10242646 8GB,29,8974,5076,NA
A-DATA Technology 10281763 4GB,28,12322,8215,NA
A-DATA Technology AD63I1C08ZZE1 4GB,28,13378,7393,NA
A-DATA Technology AD63I1C1624EV 4GB,27,12843,7643,NA
A-DATA Technology AD64C1D1624E1B 8GB,25,13967,9375,NA
A-DATA Technology AD73I1C1674EV 4GB,30,10040,6674,NA
A-DATA Technology AM1L16BC4R1-B1GS 4GB,28,11437,7412,NA
A-DATA Technology AM1L16BC4R1-B1PS 4GB,27,11551,7185,NA
A-DATA Technology AM1L16BC8R2-B1NS 8GB,30,12178,9023,NA
A-DATA Technology AM1L16BC8R2-B1QS 8GB,30,10785,7085,NA
A-DATA Technology AM1L16BC8R2-B1XS 8GB,28,12590,8467,NA
A-DATA Technology AM1U16BC4P2-B19H 4GB,27,11210,8394,NA
A-DATA Technology AM2L16BC4R1-B0AS 4GB,27,13342,7697,NA
A-DATA Technology AM2L16BC4R1-B0PS 4GB,26,15283,8781,NA
A-DATA Technology AM2L16BC8R2-B06S 8GB,26,11965,7610,NA
A-DATA Technology AM2L16BC8R2-B0BS 8GB,24,11245,5353,NA
A-DATA Technology AM2L16BC8R2-B0QS 8GB,26,10853,7698,NA
A-DATA Technology AM2L16BC8R2-B0XS 8GB,25,12974,7194,NA
A-DATA Technology AM2U139C4P2-B01S 4GB,26,13237,8288,NA
A-DATA Technology AM2U139C4P2-B05S 4GB,26,13919,8340,NA
A-DATA Technology AM2U139C4P2-S01S 4GB,25,13722,8673,NA
A-DATA Technology AM2U16BC4P2-B05B 4GB,26,14011,9085,NA
A-DATA Technology AM2U16BC4P2-B05J 4GB,25,13828,9852,NA
A-DATA Technology AO1L16BC4R1-BQ7S 4GB,31,11398,7749,NA
A-DATA Technology AO2L16BC4R1-BR1S 4GB,25,13357,8003,NA
A-DATA Technology AO2L16BC8R2-BR2S 8GB,26,13100,8140,NA
A-DATA Technology AO2L16BC8R2-BTES 8GB,32,16109,10506,NA
A-DATA Technology DDR3 1333G 2GB,32,11237,6368,NA
A-DATA Technology DDR3 1600 2OZ 4GB,27,14399,8689,NA
A-DATA Technology DDR3 1600 4GB,26,14020,8517,NA
A-DATA Technology DDR3 1600+ 2GB,24,12023,6206,NA
A-DATA Technology DDR3 1600G 2OZ 2GB,26,14213,8852,NA
A-DATA Technology DDR3 1600G 4GB,24,14308,9254,NA
A-DATA Technology DDR3 1866 8GB,27,14290,9044,NA
A-DATA Technology DDR3 1866G 2OZ 4GB,22,15597,10841,NA
A-DATA Technology DDR3 2000G 2GB,25,13332,10315,NA
A-DATA Technology DDR3 2000G 2OZ 4GB,23,15422,9847,NA
A-DATA Technology DDR3 2000X 2GB,23,14179,9739,NA
A-DATA Technology DDR3 2133 2OZ 4GB,25,15146,9981,NA
A-DATA Technology DDR3 2133 4GB,22,14601,9401,NA
A-DATA Technology DDR3 2133X 8GB,24,14480,10758,NA
A-DATA Technology DDR3 2400 2OZ 8GB,22,16359,11186,NA
A-DATA Technology DDR3 2400G 2OZ 8GB,23,15632,10791,NA
A-DATA Technology DDR3 2600 2OZ 8GB,21,17320,11219,NA
A-DATA Technology DDR3 2600G 2OZ 4GB,22,15704,10029,NA
A-DATA Technology DDR3 2800 2OZ 8GB,19,17830,11741,NA
A-DATA Technology DDR3 2933 2OZ 4GB,23,16897,9772,NA
A-DATA Technology DDR3L 1333G 4GB,26,12319,8254,NA
A-DATA Technology DDR3L 1600G 4GB,24,12821,8570,NA
A-DATA Technology EL63I1C1624ZV 4GB,28,11953,7132,NA
A-DATA Technology EL64C1C1624Z1 4GB,26,14139,9416,NA
