name,price,3dmark,value,2dmark,tdp,powerperf,test,category
128 DDR Radeon 9700 TX w/TV-Out,NA,44,NA,151,NA,NA,Mar 2011,Unknown
128MB DDR Radeon 9800 Pro,NA,66,NA,175,NA,NA,Aug 2009,Unknown
128MB RADEON X600 SE,NA,49,NA,228,NA,NA,Oct 2009,Unknown
15DD,NA,1633,NA,649,NA,NA,Jun 2018,Unknown
256MB RADEON X600,NA,67,NA,252,NA,NA,Apr 2009,Unknown
7900 MOD - Radeon HD 6520G,NA,610,NA,322,NA,NA,Dec 2012,Unknown
A6 Micro-6500T Quad-Core APU with RadeonR4,NA,220,NA,126,NA,NA,Jan 2016,Unknown
ABIT Siluro T400,NA,3,NA,151,NA,NA,Nov 2015,Unknown
ALL-IN-WONDER 9000,NA,4,NA,102,NA,NA,Dec 2009,Unknown
ALL-IN-WONDER RADEON 8500DV,NA,5,NA,132,NA,NA,Dec 2010,Unknown
All-in-Wonder X1900,NA,127,NA,444,NA,NA,Oct 2009,Unknown
ALL-IN-WONDER X800 GT,NA,84,NA,186,NA,NA,Oct 2009,Unknown
ASUS EAH4870x2,NA,496,NA,538,NA,NA,Apr 2009,Unknown
Barco MXRT 5400,NA,1161,NA,456,NA,NA,Dec 2016,Unknown
Barco MXRT 5450,NA,992,NA,602,NA,NA,May 2013,Unknown
Barco MXRT 7500,NA,4319,NA,762,NA,NA,Nov 2015,Unknown
Chell 1.7b for Intel 945G,NA,9,NA,276,NA,NA,Mar 2016,Unknown
Chell 1.7b for Intel G33/G31,NA,16,NA,348,NA,NA,Nov 2015,Unknown
Chell 1.7b for Intel GMA 3150,NA,4,NA,171,NA,NA,Jun 2017,Unknown
Chell 1.7b for Mobile Intel 945,NA,6,NA,217,NA,NA,Oct 2015,Unknown
Chell 1.8a for Mobile Intel 965,NA,22,NA,207,NA,NA,Jun 2016,Unknown
Chell 1.8b for Intel 945G,NA,1,NA,124,NA,NA,Dec 2016,Unknown
Chell 1.8b for Intel G33/G31,NA,7,NA,299,NA,NA,Jul 2016,Unknown
Chell 1.8b for Mobile Intel 945,NA,2,NA,93,NA,NA,Aug 2016,Unknown
Chell 1.8b for Mobile Intel 965,NA,14,NA,216,NA,NA,Jul 2016,Unknown
Chipset Intel G41 Express,NA,57,NA,225,NA,NA,Feb 2013,Unknown
DameWare Development Mirror Driver 64-bit,NA,1653,NA,456,NA,NA,Feb 2018,Unknown
Device,NA,3545,NA,545,NA,NA,Dec 2015,Unknown
EAH6450,NA,264,NA,641,NA,NA,May 2016,Unknown
Embedded Radeon E9173,NA,1996,NA,526,NA,NA,Jan 2018,Unknown
Famille de jeu de puces Express Intel 946GZ,NA,7,NA,230,NA,NA,Apr 2016,Unknown
FireGL T2-128,NA,30,NA,178,NA,NA,Sep 2009,Workstation
FireGL V3100,NA,52,NA,274,NA,NA,May 2009,Workstation
FireGL V3200,NA,84,NA,235,NA,NA,Aug 2009,Workstation
