name,latency,read_uncached,write,price
A Force Manufacturing Ltd. 128X64M-67E 1GB,54,3423,1335,NA
A Force Manufacturing Ltd. 128X64M-80F 1GB,46,5168,2232,NA
A Force Manufacturing Ltd. 256X64M-67E 2GB,59,3624,1604,NA
A Force Manufacturing Ltd. 256X64M-80E 2GB,55,4152,1710,NA
A Force Manufacturing Ltd. 256X64M-80F 2GB,57,4281,2008,NA
A Force Manufacturing Ltd. 512X64Y-80F 4GB,49,4741,1727,NA
A-DATA Technology 1023060001 2GB,57,3499,1733,NA
A-DATA Technology ADOPE1B163B2 2GB,80,2751,881,NA
A-DATA Technology ADOVE1A0834E 1GB,93,1881,1165,NA
A-DATA Technology ADOVE1B163B2G 2GB,59,4139,1761,NA
A-DATA Technology ADOVE1B163BE 2GB,51,4497,1782,NA
A-DATA Technology ADOVF1A083F2G 1GB,64,3382,1895,NA
A-DATA Technology ADOVF1A083FE 1GB,73,2888,1300,NA
A-DATA Technology ADOVF1B163BEG 2GB,61,4047,1344,NA
A-DATA Technology ADOVF1B163G2G 2GB,62,4117,2001,NA
A-DATA Technology ADOVF1B163GE 2GB,70,3332,1548,NA
A-DATA Technology DDR2 1066G 2GB,46,5738,2658,NA
A-DATA Technology DDR2 800G 2GB,49,5079,2330,NA
A-DATA Technology DOPE1A08342 1GB,76,2270,1002,NA
A-DATA Technology DOPE1A16332 1GB,74,2506,1318,NA
A-DATA Technology DOPE1B163B2 2GB,68,2668,1131,NA
A-DATA Technology DOPE1B163B9 2GB,64,2565,1441,NA
A-DATA Technology DOVE1A0834E 1GB,55,3786,1493,NA
A-DATA Technology DOVE1B163B2 2GB,57,3648,1569,NA
A-DATA Technology DOVE1B163BE 2GB,71,2957,1114,NA
A-DATA Technology DOVF1A083FEG 1GB,68,2469,1250,NA
A-DATA Technology DOVF1B163BE 2GB,57,4045,1805,NA
A-DATA Technology DOVF1B163G2G 2GB,56,4315,1925,NA
A-DATA Technology DQKD1A16 1GB,66,2964,1231,NA
A-DATA Technology DQPE1A08 1GB,61,3172,1250,NA
A-DATA Technology DQPE1A16 1GB,74,2852,1446,NA
A-DATA Technology DQPE1B16 2GB,49,4679,1844,NA
A-DATA Technology DQVE1908 512MB,65,2775,1557,NA
A-DATA Technology DQVE1A08 1GB,58,3742,1651,NA
A-DATA Technology DQVE1A16 1GB,58,3964,2017,NA
A-DATA Technology DQVE1B16 2GB,54,4619,2255,NA
A-DATA Technology ELQVE1B16 2GB,61,3782,2087,NA
A-DATA Technology EXTREME DDR2 1066+ 2GB,47,5567,2607,NA
A-DATA Technology EXTREME DDR2 800+ 2GB,50,5269,2512,NA
A-DATA Technology HYOVF1B163BZ 2GB,65,3238,1534,NA
A-DATA Technology HYOVF1B163BZJ 2GB,62,3935,1659,NA
A-DATA Technology HYOVF1B163GZM 2GB,77,3716,2122,NA
A-DATA Technology HYQPE1A16 1GB,51,3378,1041,NA
A-DATA Technology HYQPE1B16 2GB,67,3413,1056,NA
A-DATA Technology HYQVE1A08 1GB,64,3520,1539,NA
A-DATA Technology HYQVE1A16 1GB,52,4639,1962,NA
A-DATA Technology HYQVE1B16 2GB,58,4506,2398,NA
A-DATA Technology HYQVF1B16 2GB,55,4576,2290,NA
A-DATA Technology MIQVE1B16 2GB,63,4035,2227,NA
A-DATA Technology SCOPE1B163BZ 2GB,68,3249,1362,NA
A-DATA Technology SCQVF1A16 1GB,61,3580,1781,NA
A-DATA Technology XXQPE1A16 1GB,56,3492,1442,NA
AENEON AET760SD00-30DB97X 1GB,58,3528,1409,NA
AENEON AET760UD00-25DB97X 1GB,57,3894,2057,NA
AENEON AET760UD00-25DB98X 1GB,61,3457,2227,NA
AENEON AET760UD00-25DC07X 1GB,50,4493,1813,NA
AENEON AET760UD00-25DC97X 1GB,55,4243,1989,NA
AENEON AET760UD00-30DA98X 1GB,67,3612,1493,NA
AENEON AET760UD00-30DB97C 1GB,45,3827,1453,NA
AENEON AET760UD00-30DB97S 1GB,65,2985,1236,NA
AENEON AET760UD00-30DB97X 1GB,58,3745,1697,NA
AENEON AET760UD00-30DS92Z 1GB,50,4280,1928,NA
AENEON AET760UD00-370A98X 1GB,57,3480,1476,NA
AENEON AET760UD00-370B98X 1GB,56,2856,1527,NA
AENEON AET860SD00-25DC07X 2GB,49,4324,1920,NA
AENEON AET860SD00-30DC07X 2GB,73,3082,1070,NA
AENEON AET860UD00-25DC07X 2GB,61,3997,2058,NA
AENEON AET860UD00-25DC08X 2GB,49,4566,1975,NA
AENEON AET860UD00-30DB08X 2GB,59,4076,1909,NA
AENEON AET860UD00-30DC07X 2GB,63,3637,1731,NA
AENEON AET860UD00-30DC08X 2GB,82,3315,1403,NA
AENEON AXT760UD00-19DC97X 1GB,45,5531,2899,NA
AENEON SBT860UD00-25DC08X 2GB,48,4701,2036,NA
AMD CM2X4096-6400 4GB,54,5126,2470,NA
AMD HCM4G-538KA-CH5 4GB,71,5357,3253,NA
Apacer Technology 75.073AA.G00 1GB,68,2877,1591,NA
Apacer Technology 75.A73AA.G03 2GB,56,4368,1981,NA
Apacer Technology 75.A73AA.G05 2GB,58,5144,3153,NA
Apacer Technology 75.A73AA.G06 2GB,55,4990,2712,NA
Apacer Technology 78.01G92.9H4 1GB,52,3682,1452,NA
Apacer Technology 78.01G92.9KC 1GB,54,3875,1723,NA
Apacer Technology 78.01G9I.9H4 1GB,51,4271,1837,NA
Apacer Technology 78.01G9I.9H4?????? 1GB,56,3447,1706,NA
Apacer Technology 78.01G9I.9K4 1GB,60,2847,2138,NA
Apacer Technology 78.01G9I.9M4 1GB,52,4658,2271,NA
Apacer Technology 78.01G9O.9K5 1GB,66,2976,1241,NA
Apacer Technology 78.01GA0.9H5 1GB,55,3662,1763,NA
Apacer Technology 78.01GA0.9K5 1GB,63,4207,1923,NA
Apacer Technology 78.01GA0.9L5 1GB,49,4837,2107,NA
Apacer Technology 78.01GA0.9L5?????? 1GB,58,3758,2089,NA
Apacer Technology 78.01GA0.BS5 1GB,51,4005,1619,NA
Apacer Technology 78.01GAR.9H50C 1GB,50,3242,1487,NA
Apacer Technology 78.02G72.9K2 1GB,67,2439,1318,NA
Apacer Technology 78.0AG9I.9K4 1GB,87,3292,2151,NA
Apacer Technology 78.0AGA0.9K5 1GB,49,5249,2110,NA
Apacer Technology 78.A1G9M.423 2GB,46,5741,2503,NA
Apacer Technology 78.A1G9O.9H4 2GB,51,3726,1826,NA
Apacer Technology 78.A1G9O.9K4 2GB,64,3935,1934,NA
Apacer Technology 78.A1GA0.334 2GB,56,4617,2480,NA
Apacer Technology 78.A1GA0.404 2GB,46,5053,2429,NA
Apacer Technology 78.A1GA0.42M 2GB,42,5789,2478,NA
Apacer Technology 78.A1GA0.9H4 2GB,57,4141,1957,NA
Apacer Technology 78.A1GA0.9H4?????? 2GB,47,4209,1730,NA
Apacer Technology 78.A1GA0.9K4 2GB,54,4466,2166,NA
Apacer Technology 78.A1GA0.9K4?????? 2GB,50,4376,1963,NA
Apacer Technology 78.A1GA0.9KM 2GB,61,4781,2392,NA
Apacer Technology 78.A1GA0.9KZ 2GB,53,5962,3251,NA
Apacer Technology 78.A1GA0.9L4 2GB,55,4498,2069,NA
Apacer Technology 78.A1GA0.9L4?????? 2GB,61,4317,1756,NA
Apacer Technology 78.A1GA0.9LZ 2GB,58,4467,2449,NA
Apacer Technology 78.A1GA0.9LZ?????? 2GB,75,3846,2419,NA
Apacer Technology 78.A1GA0.9M4 2GB,51,4170,1956,NA
Apacer Technology 78.A1GA0.AF4 2GB,55,4534,2444,NA
