name,size,mark,price,value,date,type
2E256-TU2-510B00,186.3 GB,4289,NA,NA,Dec 2018,SSD
Acer GT500A 128G,119.2 GB,2845,NA,NA,Jan 2019,SSD
ADATA Permeir SP800 32GB,29.8 GB,1119,NA,NA,Mar 2013,SSD
ADATA Permeir SP800 64GB,59.6 GB,1723,NA,NA,Mar 2013,SSD
ADATA Permier SP550 120GB,111.8 GB,3222,NA,NA,Sep 2015,SSD
ADATA Permier SP550 240GB,223.6 GB,3423,NA,NA,Oct 2015,SSD
ADATA Permier SP550 480GB,447.1 GB,3594,$105.00*,34.23,Sep 2015,SSD
ADATA Permier SP550 960GB,894.3 GB,3566,NA,NA,Mar 2016,SSD
ADATA Permier SP550 M.2 120GB,111.8 GB,3732,NA,NA,Sep 2016,SSD
ADATA Permier SP550 M.2 240GB,223.6 GB,4169,NA,NA,Aug 2016,SSD
ADATA Permier SP550 M.2 480GB,447.1 GB,4203,NA,NA,Feb 2017,SSD
ADATA Permier SP600 32GB,29.8 GB,994,$114.16*,8.71,Feb 2013,SSD
ADATA Permier SP600 64GB,59.6 GB,1303,NA,NA,Mar 2013,SSD
ADATA Premier Pro SP900 128GB,119.2 GB,2556,$70.47*,36.27,May 2012,SSD
ADATA Premier Pro SP900 256GB,238.5 GB,3446,$147.88,23.30,Jan 2013,SSD
ADATA Premier Pro SP900 512GB,476.9 GB,3102,NA,NA,Nov 2014,SSD
ADATA Premier Pro SP900 64GB,59.6 GB,2008,NA,NA,Jan 2017,SSD
ADATA Premier Pro SP900 M.2 2242 128GB,119.2 GB,2731,NA,NA,Oct 2014,SSD
ADATA Premier Pro SP900 M.2 2242 256GB,238.5 GB,2922,NA,NA,Dec 2015,SSD
ADATA Premier Pro SP900 M.2 2280 128GB,119.2 GB,2952,NA,NA,Aug 2014,SSD
ADATA Premier Pro SP900 M.2 2280 256GB,238.5 GB,3697,NA,NA,Jan 2016,SSD
ADATA Premier Pro SP900 M.2 2280 512GB,476.9 GB,3648,NA,NA,Jul 2015,SSD
ADATA Premier SP600 128GB,119.2 GB,1980,$82.72*,23.94,Jan 2013,SSD
ADATA Premier SP600 256GB,238.5 GB,2443,$248.00,9.85,Feb 2014,SSD
ADATA Premier SP600 512GB,476.9 GB,3130,NA,NA,Jun 2016,SSD
ADATA Premier SP600 M.2 128GB,119.2 GB,2338,NA,NA,Dec 2015,SSD
ADATA Premier SP600 M.2 256GB,238.5 GB,2855,NA,NA,Aug 2015,SSD
ADATA S396 30GB,29.8 GB,1174,$64.53*,18.19,Aug 2012,SSD
ADATA S510 120GB,111.8 GB,2275,$153.55*,14.82,Oct 2011,SSD
ADATA S510 60GB,55.9 GB,1694,$148.50*,11.41,Jan 2012,SSD
ADATA S511 120GB,111.8 GB,2901,$133.67*,21.70,Jul 2011,SSD
ADATA S511 240GB,223.6 GB,3625,$268.41*,13.51,Oct 2012,SSD
ADATA S511 60GB,55.9 GB,2309,NA,NA,Aug 2011,SSD
ADATA S596 Turbo,29.8 GB,987,$250.00*,3.95,Sep 2010,SSD
ADATA S599 128GB,111.8 GB,1671,NA,NA,Oct 2010,SSD
ADATA S599 40GB,37.3 GB,1231,NA,NA,Feb 2011,SSD
ADATA S599 64GB,55.9 GB,1479,NA,NA,Nov 2010,SSD
ADATA SP 610,238.5 GB,2952,NA,NA,Oct 2014,SSD
ADATA SP 900,59.6 GB,2816,NA,NA,Dec 2012,SSD
ADATA SP 900NS38,119.2 GB,3776,NA,NA,Mar 2015,SSD
ADATA SP 920SS,119.2 GB,2540,NA,NA,Sep 2014,SSD
ADATA SP310,59.6 GB,1997,$126.00*,15.85,Feb 2014,SSD
ADATA SP580,111.8 GB,2467,$154.08*,16.01,Aug 2016,SSD
ADATA SP610,238.5 GB,3106,$178.15*,17.43,Jul 2014,SSD
ADATA SP910SS,476.9 GB,1883,NA,NA,Sep 2014,SSD
ADATA SP920SS,119.2 GB,2612,NA,NA,Apr 2014,SSD
ADATA SSD DP900 256GB-DL3,238.5 GB,2281,NA,NA,Jun 2016,SSD
ADATA SSD S396 60GB,59.6 GB,1448,NA,NA,Nov 2013,SSD
ADATA SSD S510 120GB,111.8 GB,2593,NA,NA,Jan 2014,SSD
ADATA SSD S511 120GB,111.8 GB,3191,NA,NA,Dec 2013,SSD
ADATA SU 650,111.8 GB,2953,NA,NA,May 2018,SSD
ADATA SU 700,111.8 GB,3437,NA,NA,Aug 2017,SSD
ADATA SU 800,238.5 GB,2817,NA,NA,Dec 2016,SSD
ADATA SU600,111.8 GB,3531,NA,NA,Oct 2017,SSD
ADATA SU630,223.6 GB,2584,NA,NA,Jan 2019,SSD
ADATA SU650,111.8 GB,2988,$21.99,135.88,Oct 2017,SSD
ADATA SU655,111.8 GB,2700,$31.99,84.40,Aug 2018,SSD
ADATA SU700,111.8 GB,2374,$366.76*,6.47,May 2017,SSD
ADATA SU800,953.9 GB,3381,NA,NA,Jan 2019,HDD
ADATA SU800 M.2 SSD 128GB,119.2 GB,3772,NA,NA,Jan 2017,SSD
ADATA SU800 M.2 SSD 256GB,238.5 GB,4108,NA,NA,Jan 2017,SSD
ADATA SU800 M.2 SSD 512GB,476.9 GB,4485,NA,NA,May 2017,SSD
ADATA SU800 SSD 128GB,119.2 GB,3328,NA,NA,Apr 2017,SSD
ADATA SU800 SSD 1TB,953.9 GB,4303,NA,NA,Feb 2017,SSD
ADATA SU800 SSD 256GB,238.5 GB,3879,$27.99*,138.59,Oct 2016,SSD
ADATA SU800 SSD 512GB,476.9 GB,4088,NA,NA,Nov 2016,SSD
ADATA SU900,238.5 GB,3734,$79.99,46.68,Apr 2017,SSD
ADATA SX 910,238.5 GB,3718,NA,NA,Oct 2013,SSD
ADATA SX 930,223.6 GB,2957,NA,NA,Oct 2015,SSD
ADATA SX300,119.2 GB,2771,$172.21*,16.09,Dec 2013,SSD
ADATA SX6000NP,119.2 GB,6145,NA,NA,Dec 2017,SSD
ADATA SX6000PNP,238.5 GB,13355,NA,NA,Oct 2018,SSD
ADATA SX7000NP,119.2 GB,7185,NA,NA,Jun 2017,SSD
ADATA SX8200NP,447.1 GB,16029,NA,NA,Apr 2018,SSD
ADATA SX8200PNP,476.9 GB,16487,NA,NA,Nov 2018,SSD
ADATA SX850,238.5 GB,3682,NA,NA,Dec 2017,SSD
ADATA SX910,119.2 GB,3426,$220.00*,15.57,Oct 2013,SSD
ADATA SX910 128GB,119.2 GB,3399,$129.99*,26.15,Dec 2012,SSD
ADATA SX930,111.8 GB,3178,$74.25*,42.80,Aug 2015,SSD
ADATA SX950,223.6 GB,4510,NA,NA,Jul 2017,SSD
ADATA XM11 128GB,111.8 GB,3355,NA,NA,Oct 2011,SSD
ADATA XM11 128GB-V2,119.2 GB,3271,NA,NA,Mar 2013,SSD
ADATA XM11 256GB,238.5 GB,4470,$415.80*,10.75,Oct 2012,SSD
ADATA XM11 256GB-V2,238.5 GB,4040,NA,NA,Mar 2013,SSD
ADATA XM13 32GB,29.8 GB,1408,NA,NA,Jun 2013,SSD
ADATA XM14 128GB,119.2 GB,3335,NA,NA,Feb 2013,SSD
ADATA XM21E,119.2 GB,2209,NA,NA,May 2015,SSD
ADATA XPG SX300 128GB,119.2 GB,3016,$118.61*,25.43,Nov 2012,SSD
ADATA XPG SX8000 128GB,119.2 GB,5064,NA,NA,Dec 2016,SSD
ADATA XPG SX8000 256GB,238.5 GB,8390,NA,NA,Feb 2017,SSD
ADATA XPG SX8000 512GB,476.9 GB,10616,NA,NA,Jan 2017,SSD
ADATA XPG SX900 128GB,119.2 GB,3024,$103.53*,29.21,May 2012,SSD
ADATA XPG SX900 256GB,238.5 GB,3711,"$1,524.37*",2.43,Oct 2012,SSD
ADATA XPG SX900 512GB,476.9 GB,3425,NA,NA,Jan 2015,SSD
ADATA XPG SX900 64GB,59.6 GB,2306,$134.87*,17.10,Feb 2013,SSD
addlink SSD S10 120GB,111.8 GB,1765,NA,NA,Dec 2016,SSD
